,station,date,prcp,tobs
17015,USC00516128,3/21/2010,1,74
69,USC00519397,3/22/2010,0,69
2802,USC00513117,3/22/2010,0,68
5451,USC00514830,3/22/2010,0,71
9598,USC00519523,3/22/2010,0,73
12267,USC00519281,3/22/2010,0,67
15034,USC00511918,3/22/2010,0,65
17016,USC00516128,3/22/2010,0,77
70,USC00519397,3/23/2010,0,68
2803,USC00513117,3/23/2010,0,67
5452,USC00514830,3/23/2010,0,70
9599,USC00519523,3/23/2010,0,67
12268,USC00519281,3/23/2010,0,64
15035,USC00511918,3/23/2010,0.01,65
17017,USC00516128,3/23/2010,0,74
71,USC00519397,3/24/2010,0,74
2804,USC00513117,3/24/2010,0.03,72
5453,USC00514830,3/24/2010,0.02,72
9600,USC00519523,3/24/2010,0.01,77
12269,USC00519281,3/24/2010,0.02,71
15036,USC00511918,3/24/2010,0,71
17018,USC00516128,3/24/2010,0.07,71
2805,USC00513117,3/25/2010,0.01,72
5454,USC00514830,3/25/2010,0.13,72
9601,USC00519523,3/25/2010,0.12,73
12270,USC00519281,3/25/2010,0.06,70
15037,USC00511918,3/25/2010,0,71
17019,USC00516128,3/25/2010,0.35,67
2806,USC00513117,3/26/2010,0.02,71
5455,USC00514830,3/26/2010,0.03,70
9602,USC00519523,3/26/2010,0.02,74
12271,USC00519281,3/26/2010,0.12,72
15038,USC00511918,3/26/2010,0,66
17020,USC00516128,3/26/2010,0.91,71
73,USC00519397,3/27/2010,0,72
2807,USC00513117,3/27/2010,0.01,71
5456,USC00514830,3/27/2010,0,74
9603,USC00519523,3/27/2010,0.02,77
12272,USC00519281,3/27/2010,0,73
15039,USC00511918,3/27/2010,0,73
17021,USC00516128,3/27/2010,0,72
74,USC00519397,3/28/2010,0,73
2808,USC00513117,3/28/2010,0.01,71
5457,USC00514830,3/28/2010,0,72
9604,USC00519523,3/28/2010,0.05,76
12273,USC00519281,3/28/2010,0,74
15040,USC00511918,3/28/2010,0,73
17022,USC00516128,3/28/2010,0,74
75,USC00519397,3/29/2010,0,74
2809,USC00513117,3/29/2010,0,72
5458,USC00514830,3/29/2010,0.01,70
9064,USC00518838,3/29/2010,0.13,69
9605,USC00519523,3/29/2010,0,73
12274,USC00519281,3/29/2010,0.01,69
15041,USC00511918,3/29/2010,0,73
17023,USC00516128,3/29/2010,0.02,70
76,USC00519397,3/30/2010,0,73
2810,USC00513117,3/30/2010,0.02,73
5459,USC00514830,3/30/2010,0.03,71
9065,USC00518838,3/30/2010,0.04,69
9606,USC00519523,3/30/2010,0.01,73
12275,USC00519281,3/30/2010,0.03,71
15042,USC00511918,3/30/2010,0.01,73
17024,USC00516128,3/30/2010,0.49,68
77,USC00519397,3/31/2010,0,73
2811,USC00513117,3/31/2010,0.02,71
5460,USC00514830,3/31/2010,0.04,67
9607,USC00519523,3/31/2010,0,73
12276,USC00519281,3/31/2010,0,72
15043,USC00511918,3/31/2010,0,73
17025,USC00516128,3/31/2010,0.08,70
78,USC00519397,4/1/2010,0,74
2812,USC00513117,4/1/2010,0.01,73
5461,USC00514830,4/1/2010,0.02,69
9608,USC00519523,4/1/2010,0.03,72
12277,USC00519281,4/1/2010,0.03,71
15044,USC00511918,4/1/2010,0,73
17026,USC00516128,4/1/2010,0.04,73
79,USC00519397,4/2/2010,0.01,74
2813,USC00513117,4/2/2010,0.02,71
5462,USC00514830,4/2/2010,0.05,71
9609,USC00519523,4/2/2010,0,72
12278,USC00519281,4/2/2010,0.11,74
15045,USC00511918,4/2/2010,0,71
17027,USC00516128,4/2/2010,0.19,73
80,USC00519397,4/3/2010,0.17,74
2814,USC00513117,4/3/2010,0.03,72
9067,USC00518838,4/3/2010,0.53,67
9610,USC00519523,4/3/2010,0.19,72
12279,USC00519281,4/3/2010,0.18,73
15046,USC00511918,4/3/2010,0,78
17028,USC00516128,4/3/2010,0.92,67
81,USC00519397,4/4/2010,0.15,71
2815,USC00513117,4/4/2010,0.13,71
9068,USC00518838,4/4/2010,0.87,66
9611,USC00519523,4/4/2010,0.12,72
12280,USC00519281,4/4/2010,0.11,71
15047,USC00511918,4/4/2010,0.12,71
17029,USC00516128,4/4/2010,2.56,67
82,USC00519397,4/5/2010,0.27,72
2816,USC00513117,4/5/2010,0.19,71
5464,USC00514830,4/5/2010,0.1,70
9069,USC00518838,4/5/2010,1.8,67
9612,USC00519523,4/5/2010,0.1,72
12281,USC00519281,4/5/2010,0.57,71
15048,USC00511918,4/5/2010,0.01,73
17030,USC00516128,4/5/2010,0.87,69
83,USC00519397,4/6/2010,0.01,75
2817,USC00513117,4/6/2010,0.07,69
5465,USC00514830,4/6/2010,0.15,70
9070,USC00518838,4/6/2010,0.3,70
9613,USC00519523,4/6/2010,0.03,73
12282,USC00519281,4/6/2010,0.16,69
15049,USC00511918,4/6/2010,0,70
17031,USC00516128,4/6/2010,1.83,69
2818,USC00513117,4/7/2010,0.51,70
5466,USC00514830,4/7/2010,0.05,71
9071,USC00518838,4/7/2010,2.12,72
9614,USC00519523,4/7/2010,0.2,73
12283,USC00519281,4/7/2010,3.99,69
15050,USC00511918,4/7/2010,0.01,71
17032,USC00516128,4/7/2010,1.43,68
84,USC00519397,4/8/2010,0,75
2819,USC00513117,4/8/2010,0,73
5467,USC00514830,4/8/2010,0.32,72
9072,USC00518838,4/8/2010,0.47,74
9615,USC00519523,4/8/2010,0,73
12284,USC00519281,4/8/2010,0.1,72
15051,USC00511918,4/8/2010,0.87,68
17033,USC00516128,4/8/2010,0.35,76
85,USC00519397,4/9/2010,0.01,75
2820,USC00513117,4/9/2010,0.24,69
5468,USC00514830,4/9/2010,0.04,71
9073,USC00518838,4/9/2010,0.8,71
9616,USC00519523,4/9/2010,0,73
12285,USC00519281,4/9/2010,0.01,68
15052,USC00511918,4/9/2010,0.01,68
17034,USC00516128,4/9/2010,0.5,68
86,USC00519397,4/10/2010,0,75
2821,USC00513117,4/10/2010,0.03,72
5469,USC00514830,4/10/2010,0.05,75
9617,USC00519523,4/10/2010,0,76
12286,USC00519281,4/10/2010,0.14,75
15053,USC00511918,4/10/2010,0,74
17035,USC00516128,4/10/2010,0.4,67
87,USC00519397,4/11/2010,0.01,73
2822,USC00513117,4/11/2010,0.03,69
5470,USC00514830,4/11/2010,0.09,68
9618,USC00519523,4/11/2010,0.01,75
12287,USC00519281,4/11/2010,0.02,69
15054,USC00511918,4/11/2010,0,77
17036,USC00516128,4/11/2010,1.04,73
88,USC00519397,4/12/2010,0.01,73
2823,USC00513117,4/12/2010,0.01,71
5471,USC00514830,4/12/2010,0,70
9619,USC00519523,4/12/2010,0,71
